No errors
No warnings
34 ms
data source=aircraftreports
1172 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2021-08-05T06:18:12Z,2021-08-05T06:14:00Z,,,,,,,UPS232,55.2667,-42.95,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,321,56,,AIREP,ARP UPS232 5516N 04257W 0614 F340 M45 321/56 5301N 05001W 0651 5149N 05433W KT N353UP QXT IGW 050614 F60A,
2021-08-05T06:17:02Z,2021-08-05T06:14:00Z,,,,,,,ELY001,53.5,-52.0667,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,326,51,,AIREP,ARP ELY001 5330N 05204W 0614 F380 M56 326/51 NEEKO 0634 4722N 06718W KT 4XEDI QXS YAY 050614 L79A,
2021-08-05T06:17:02Z,2021-08-05T06:14:00Z,,,,,,,BAW2202,50.0833,-25.3333,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,269,106,,AIREP,ARP BAW2202 5005N 02520W 0614 F400 M48 269/106 4959N 02000W 0635 4959N 01500W KT GYMMC DDL XXH 050614 F71A,
2021-08-05T06:16:12Z,2021-08-05T06:14:00Z,,,,,,,UAE202,49.0167,-28.95,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,264,143,,AIREP,ARP UAE202 4901N 02857W 0614 F370 M51 264/143 4859N 02000W 0648 4759N 01500W KT A6EUU DDL XXF 050614 J87A,
2021-08-05T06:16:12Z,2021-08-05T06:14:00Z,,,,,,,AFR760,49.0167,-29.0167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,271,141,,AIREP,ARP AFR760 4901N 02901W 0614 F340 M44 271/141 4859N 02000W 0648 4859N 01500W KT FGSQE QXT EUA 050614 F72A,
2021-08-05T06:17:02Z,2021-08-05T06:14:00Z,,,,,,,UAE236,48.4833,-35.9333,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,269,142,,AIREP,ARP UAE236 4829N 03556W 0614 F340 M43 269/142 4858N 03000W 0637 4858N 02001W KT A6EQA DDL XXH 050614 F47A,
2021-08-05T06:18:12Z,2021-08-05T06:14:00Z,,,,,,,QTR29E,47.7333,-41.6667,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-39,272,125,,AIREP,ARP QTR29E 4744N 04140W 0614 F330 M39 272/125 4800N 04000W 0621 4900N 03000W KT A7BEE QXT AME 050615 F65A,
2021-08-05T06:18:12Z,2021-08-05T06:14:00Z,,,,,,,ELY008,47.0,-49.8333,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,281,98,,AIREP,ARP ELY008 4700N 04950W 0614 F380 M53 281/98 4700N 04000W 0656 4700N 03000W KT 4XEDA QXS YYT 050615 L51A,
2021-08-05T06:17:02Z,2021-08-05T06:14:00Z,,,,,,,ELY008,47.0,-49.9167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,281,96,,AIREP,ARP ELY008 4700N 04955W 0614 F380 M53 281/96 4700N 04000W 0656 4700N 03000W KT 4XEDA QXS YYT 050614 L45A,
2021-08-05T06:18:12Z,2021-08-05T06:14:00Z,,,,,,,THY4920,46.8667,-51.6167,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,279,89,,AIREP,ARP THY4920 4652N 05137W 0614 F370 M49 279/89 4700N 05000W 0621 4500N 04000W KT TCLJH QXS YYT 050614 F16A,
